file,column,role,description
dataset_A_wide_housing.csv,house_price,target,Wide synthetic housing dataset for feature selection and regularization.
dataset_A_wide_housing.csv,area_sqft,numeric predictor,
dataset_A_wide_housing.csv,bedrooms,numeric predictor,
dataset_A_wide_housing.csv,bathrooms,numeric predictor,
dataset_A_wide_housing.csv,lot_size,numeric predictor,
dataset_A_wide_housing.csv,garage_size,numeric predictor,
dataset_A_wide_housing.csv,age_years,numeric predictor,
dataset_A_wide_housing.csv,renovation_score,numeric predictor,
dataset_A_wide_housing.csv,energy_efficiency,numeric predictor,
dataset_A_wide_housing.csv,distance_to_center,numeric predictor,
dataset_A_wide_housing.csv,school_quality,numeric predictor,
dataset_A_wide_housing.csv,crime_index,numeric predictor,
dataset_A_wide_housing.csv,walkability_score,numeric predictor,
dataset_A_wide_housing.csv,median_income_area,numeric predictor,
dataset_A_wide_housing.csv,property_tax_rate,numeric predictor,
dataset_A_wide_housing.csv,mortgage_rate_proxy,numeric predictor,
dataset_A_wide_housing.csv,transit_score,numeric predictor,
dataset_A_wide_housing.csv,area_m2,numeric predictor,
dataset_A_wide_housing.csv,living_area_proxy,numeric predictor,
dataset_A_wide_housing.csv,rooms_total,numeric predictor,
dataset_A_wide_housing.csv,lot_size_log,numeric predictor,
dataset_A_wide_housing.csv,condition_index,numeric predictor,
dataset_A_wide_housing.csv,location_desirability,numeric predictor,
dataset_A_wide_housing.csv,income_proxy,numeric predictor,
dataset_A_wide_housing.csv,neighborhood,categorical predictor,
dataset_A_wide_housing.csv,building_type,categorical predictor,
dataset_A_wide_housing.csv,heating_type,categorical predictor,
dataset_A_wide_housing.csv,noise_loc_01,numeric predictor,
dataset_A_wide_housing.csv,noise_loc_02,numeric predictor,
dataset_A_wide_housing.csv,noise_loc_03,numeric predictor,
dataset_A_wide_housing.csv,noise_loc_04,numeric predictor,
dataset_A_wide_housing.csv,noise_loc_05,numeric predictor,
dataset_A_wide_housing.csv,noise_size_06,numeric predictor,
dataset_A_wide_housing.csv,noise_size_07,numeric predictor,
dataset_A_wide_housing.csv,noise_size_08,numeric predictor,
dataset_A_wide_housing.csv,noise_size_09,numeric predictor,
dataset_A_wide_housing.csv,noise_size_10,numeric predictor,
dataset_A_wide_housing.csv,random_noise_11,numeric predictor,
dataset_A_wide_housing.csv,random_noise_12,numeric predictor,
dataset_A_wide_housing.csv,random_noise_13,numeric predictor,
dataset_A_wide_housing.csv,random_noise_14,numeric predictor,
dataset_A_wide_housing.csv,random_noise_15,numeric predictor,
dataset_A_wide_housing.csv,random_noise_16,numeric predictor,
dataset_A_wide_housing.csv,random_noise_17,numeric predictor,
dataset_A_wide_housing.csv,random_noise_18,numeric predictor,
dataset_A_wide_housing.csv,random_noise_19,numeric predictor,
dataset_A_wide_housing.csv,random_noise_20,numeric predictor,
dataset_A_wide_housing.csv,random_noise_21,numeric predictor,
dataset_A_wide_housing.csv,random_noise_22,numeric predictor,
dataset_A_wide_housing.csv,random_noise_23,numeric predictor,
dataset_A_wide_housing.csv,random_noise_24,numeric predictor,
dataset_A_wide_housing.csv,random_noise_25,numeric predictor,
