house_price,area_sqft,bedrooms,bathrooms,lot_size,garage_size,age_years,renovation_score,energy_efficiency,distance_to_center,school_quality,crime_index,walkability_score,median_income_area,property_tax_rate,mortgage_rate_proxy,transit_score,area_m2,living_area_proxy,rooms_total,lot_size_log,condition_index,location_desirability,income_proxy,neighborhood,building_type,heating_type,noise_loc_01,noise_loc_02,noise_loc_03,noise_loc_04,noise_loc_05,noise_size_06,noise_size_07,noise_size_08,noise_size_09,noise_size_10,random_noise_11,random_noise_12,random_noise_13,random_noise_14,random_noise_15,random_noise_16,random_noise_17,random_noise_18,random_noise_19,random_noise_20,random_noise_21,random_noise_22,random_noise_23,random_noise_24,random_noise_25,random_noise_26,random_noise_27,random_noise_28,random_noise_29,random_noise_30,synthetic_feature_01,synthetic_feature_02,synthetic_feature_03,synthetic_feature_04,synthetic_feature_05,synthetic_feature_06,synthetic_feature_07,synthetic_feature_08,synthetic_feature_09,synthetic_feature_10
586681.01,2040.84,4,2.9,4068.48,1,27.12,6.14,0.632,6.48,6.57,2.52,49.49,64137.83,0.788,6.364,54.77,180.84,1999.44,9.9,8.311,4.803,2.191,71.414,Riverside,Duplex,Gas,-0.0239,-0.3375,-0.5297,1.6678,2.2179,-2.156,0.7965,-0.2527,-0.0414,0.2646,-1.9534,0.871,-1.6787,-0.0657,0.5893,-1.1889,0.0316,-0.8275,0.9902,2.3538,-2.1146,1.5167,-1.2958,2.433,0.2375,0.1086,-0.6397,0.2912,0.0327,-2.2462,-0.1821,0.0588,0.0392,-1.3089,0.34,1.6729,0.6229,-1.5579,-2.3981,1.4403
370993.63,1204.89,3,1.4,2196.54,1,26.54,6.1,0.418,2.93,6.2,3.89,68.24,77025.96,1.272,5.105,49.31,106.59,1080.76,6.4,7.6946,4.929,2.957,79.315,Suburban,Detached,Heat pump,-0.7409,2.1176,0.9112,2.3553,-1.0005,-1.2073,0.8545,-3.8382,-1.668,-3.0755,0.2821,-0.7131,0.3841,-0.5955,-0.3911,-1.6516,-0.4488,0.105,0.3535,-0.1556,-1.9468,-0.2901,0.671,0.7028,0.4566,1.0623,-1.1451,0.7748,0.9586,0.0583,-1.8562,0.3168,-1.9119,0.8475,0.2513,0.1291,-1.221,-0.3369,-0.0437,-1.9427
502650.99,1978.46,4,2.5,5920.92,2,50.33,3.85,0.259,11.33,4.7,5.16,48.8,67319.99,0.783,5.369,29.41,179.49,1350.18,8.5,8.6862,1.408,1.637,63.52,Central,Detached,Heat pump,1.4225,-1.5906,0.1852,-0.119,-2.2766,0.27,0.4241,-1.2066,-2.6821,0.4724,1.2775,-0.7013,0.141,-1.086,-0.6531,-0.4236,-1.8075,-0.5049,1.3249,0.6049,1.6475,-0.3071,-1.4463,-1.0125,-0.4224,1.4727,1.366,0.5685,-0.5989,-0.2794,0.0313,1.5023,-0.294,0.5216,-0.915,0.2401,-0.3904,1.0356,-0.0514,1.0939
565197.49,2006.54,4,3.1,4700.5,1,33.96,3.44,0.45,12.04,9.05,3.24,57.41,101873.41,1.229,4.906,36.22,185.17,1825.72,10.1,8.4554,3.049,3.372,102.668,Riverside,Duplex,Electric,0.1644,2.4216,2.5192,0.23,0.4279,-0.1796,1.6016,2.3686,2.223,0.9166,-0.1211,0.0453,-0.4489,-0.3918,1.0249,-0.2639,-1.3449,0.0466,0.0805,0.7187,-0.5855,1.4396,0.3123,-0.0938,-1.562,-1.1478,0.8823,0.6054,0.1405,-0.5858,0.5906,0.3885,-0.9689,-0.3205,1.3803,-0.6786,0.1263,0.849,0.8038,0.7067
323259.48,776.05,4,1.6,821.86,0,17.21,6.7,0.607,9.92,8.1,6.05,57.14,54267.33,1.154,6.045,53.35,67.53,731.51,6.6,6.7116,5.702,2.706,50.13,Riverside,Detached,Gas,2.2294,0.3635,0.8094,1.1995,1.1179,-2.8536,-0.8973,-1.2103,-1.0071,-1.6078,-1.772,-0.1155,-1.0204,0.2046,0.1154,0.105,-0.1681,1.0981,0.1388,-0.0629,0.9656,0.9856,0.0257,0.181,-0.0833,-1.5186,-0.2849,0.7615,0.3165,0.9116,-0.0219,-0.9477,-0.0843,0.9173,0.936,1.1928,2.5229,-0.0545,-1.7294,-0.854
354711.22,1278.13,4,2.0,2345.28,1,35.44,5.34,0.251,7.97,8.93,5.17,38.51,75233.58,1.138,6.654,57.63,122.98,1059.66,8.0,7.7602,3.323,2.505,77.336,Suburban,Condo,Electric,0.5647,-0.3407,-0.1469,0.689,-0.005,-1.7945,-1.5381,-2.8591,-1.9548,-2.1872,-0.4139,1.3931,-1.0639,-1.9594,-0.1636,0.5557,-0.1083,-1.2529,-0.2853,0.2738,-1.603,0.1449,-0.5315,-0.5194,-0.3232,0.0621,0.3522,-0.5547,-1.1009,-2.7335,-1.9463,1.3768,-1.0912,0.0113,-2.161,0.147,-0.4213,-1.2164,-0.1724,-0.0884
454010.24,1799.76,5,3.2,5487.29,2,76.17,2.59,0.25,8.55,6.75,5.11,50.02,66691.31,0.982,4.531,41.17,157.57,1829.76,10.2,8.6102,0.207,2.008,69.268,Suburban,Townhouse,Gas,0.5989,-1.0718,-0.8127,-0.4378,-1.7362,1.3188,1.5059,-0.6288,-1.5902,1.4969,1.2793,0.7027,1.0866,-0.7801,0.115,0.1881,1.4122,2.1735,0.263,0.0207,-1.0469,-1.561,0.2273,0.4703,0.7095,1.1092,0.3897,1.6878,-0.2701,1.5762,-0.2732,-0.1563,0.5184,0.3171,1.8301,0.2168,-0.7276,0.3636,0.3268,-1.6085
519508.31,1684.49,5,2.1,3060.58,0,26.25,6.19,0.543,10.41,7.07,3.24,35.98,72265.92,1.239,5.31,41.62,147.02,1408.62,10.1,8.0264,3.793,2.809,65.43,Riverside,Townhouse,Electric,0.1294,-0.8388,0.6663,1.8701,1.6523,0.9942,1.1264,-0.3512,-1.7026,-0.2999,0.2586,-0.0704,0.2475,-1.9967,0.3378,-0.2569,1.3148,-0.0725,1.698,0.2026,0.6786,-0.8119,-0.9377,-2.2714,0.9061,0.3596,2.3429,-0.1111,-1.0255,1.0547,0.6376,0.7582,0.0217,0.8531,-0.7392,0.0388,-0.4985,-0.158,2.6917,-0.0883
326302.12,1691.36,3,2.2,2148.18,1,19.73,5.42,0.46,13.2,5.84,4.91,21.85,62846.3,0.814,6.196,43.04,155.13,1369.06,8.2,7.6724,4.834,0.523,63.722,Central,Condo,Electric,-1.8087,-1.3755,-1.2199,-0.1672,1.7217,-1.1306,1.6397,-1.4522,0.5165,-1.1214,-1.4183,0.6061,0.4786,-0.6171,-0.0567,-0.9151,-0.6865,0.4118,-0.5028,-0.5865,-0.1025,-1.0541,0.8408,0.5531,0.765,0.6803,0.8726,-0.2438,0.8687,-0.6281,-1.0527,-0.6664,-1.3282,0.5617,0.4609,0.2002,-1.6919,-0.4174,-0.1107,-0.1879
471419.09,1434.1,4,2.4,812.18,0,20.15,4.8,0.593,8.54,4.88,4.52,45.25,72738.3,1.274,4.704,25.84,132.18,1295.71,9.4,6.6997,4.355,0.956,72.15,Hillside,Condo,Gas,-1.3098,-3.0651,-0.4764,-1.2182,1.3897,-1.4747,-0.3029,-3.258,-0.9603,-1.4029,2.3676,-2.0467,0.2448,1.1973,1.2037,0.8771,0.8183,-0.7528,0.648,-0.4942,0.5377,0.0365,-0.6983,-0.4764,0.9883,-1.3602,0.8348,1.3476,-0.9081,-0.4508,0.1186,-0.0034,-0.6338,0.1054,-0.1578,0.4893,-0.4923,-1.0559,0.9245,-0.3903
559692.5,1993.95,4,2.9,4133.74,1,34.52,5.35,0.383,9.38,6.35,4.02,46.19,68689.95,1.026,5.812,59.13,176.52,1716.26,8.9,8.3269,3.914,2.61,71.413,Suburban,Detached,Heat pump,1.9216,-0.4325,-0.2652,2.1069,1.1501,0.2883,3.7116,0.6883,1.7093,3.1936,-1.2538,-0.6153,0.3277,-1.1861,1.2593,-0.1018,-0.4771,1.1422,-0.8804,0.0169,-0.0136,-0.5083,-0.3864,-0.1097,1.8037,-0.572,0.038,-0.6306,0.2918,0.5044,0.471,-0.7225,0.7387,-0.031,0.1366,1.1319,2.1268,1.23,-1.1441,-0.9735
621217.32,2428.02,4,3.3,3922.2,2,34.54,4.19,0.594,8.89,6.74,4.28,53.72,79903.89,0.92,6.172,67.57,221.93,2267.41,9.3,8.2744,4.058,2.364,84.061,Central,Duplex,Heat pump,0.5201,-0.2262,1.0453,0.5003,0.6547,1.7492,0.0395,1.4649,0.8815,1.575,-0.2429,0.2878,-0.4684,0.7032,0.5319,-0.4338,0.6826,-0.1256,-2.0667,-1.9719,-0.2077,1.6029,-0.5054,1.4657,0.3899,-2.1961,-0.4344,0.3203,-1.3902,0.5312,1.1684,0.423,1.2992,2.1852,0.0454,1.9132,0.6888,0.7486,1.4736,0.9508
383276.6,1445.51,3,2.7,4128.97,0,52.01,2.43,0.268,8.22,7.2,4.09,56.62,60739.76,1.419,5.543,26.07,131.89,1422.77,8.7,8.3258,0.384,3.165,63.127,Central,Duplex,Gas,2.3501,1.9478,0.3233,-0.3131,-0.0118,0.2406,2.6149,0.7763,1.2261,1.3242,-1.0374,1.1154,-0.2058,2.8488,1.3747,-0.1865,0.806,-0.3941,0.2075,1.4961,-0.68,-1.5714,0.6895,-1.2615,1.0992,-0.1425,1.3827,-0.7228,-1.1334,-0.6339,1.7459,0.8704,-0.8025,-0.6006,-0.8261,0.4425,1.1365,0.5109,0.5259,1.3928
